NOC;--;75500000.0;--;38900.0;963;105210;105210;41648;621
VSympathyV;3,815;62000000.0;16,280,230,142;62600.0;209;49842;49842;7095;21325
CanalKondZilla;1,229;53100000.0;27,161,926,763;2200000.0;2,959;421330;421330;18367;556
WWEFanNation;44,490;50800000.0;37,169,510,485;19500000.0;23700.0;10735141;10735141;238324;1328
corycotton;218;47200000.0;9,303,650,972;9900000.0;2,698;412013;412013;6974;14867
kidrauhl;135;47200000.0;636,925,091;121900000.0;4,779;107294983;107294983;30454;3401
badabunOficial;4,883;43100000.0;14,834,674,755;13000000.0;2,113;376822;376822;37850;1079
EdSheeran;158;42700000.0;18,521,528,174;32200000.000000004;2,021;18939022;18939022;29250;14
osnapitzari;139;38800000.0;925,693,311;167500000.0;4,413;67475893;67475893;45194;41432
LeathermanMedia;618;38100000.0;14,087,937,002;267100.0;1,299;33852;33852;6878;2021
whinderssonnunes;373;37500000.0;3,142,252,711;36000000.0;2,257;13084056;13084056;1594;1705
KatyPerryMusic;103;35500000.0;364,172,814;87100000.0;1,373;108290649;108290649;10149;6812
TheEllenShow;10,990;35200000.0;17,939,915,162;79800000.0;8,172;79050757;79050757;20621;1880
cbcnews;--;34000000.0;--;331200.0;3,620;2780730;2780730;225875;6096
kidrauhl;135;47200000.0;636,925,091;121900000.0;4,779;107294983;107294983;30454;3401
rihanna;78;33100000.0;62,972,326;77000000.0;4,614;94551826;94551826;10438;1021
BrightSunGaming;3,032;31600000.0;6,069,828,377;16000.0;525;17297;17297;4395;8634
movieclips;34,507;30900000.0;28,854,173,940;47200.0;723;43182;43182;18077;2164
Vsauce;--;29700000.0;--;544600.0;997;1162037;1162037;6045;14792
filmigaane;6,346;29400000.0;13,868,111,239;1,910;367;288;288;544;135
GoldminesTelefilms;510;29300000.0;5,228,782,094;6,503;107;9296;9296;7138;654
vcsabiavideos;967;29200000.0;3,793,232,596;2800000.0;1,671;1444391;1444391;430;9407
DigitalShockwave;17,581;29200000.0;19,697,535,444;12500.0;286;4224;4224;3492;3913
ScreenMediaPictures;--;94200000.0;--;22500000.0;1,908;72097348;72097348;24081;2632
Maroon5;154;28100000.0;273,876,056;7400000.0;1,136;14772406;14772406;6924;5608
vegetta777;5,569;27900000.0;11,273,852,849;3400000.0;168;5911868;5911868;59536;12925
speedrecordss;7,527;26500000.0;13,280,338,967;598000.0;7,986;56603;56603;14040;1392
LuisFonsiVivo;74;26500000.0;18,109,040;8900000.0;3,985;9584081;9584081;11025;2658
